Contabilización;Comprobante;;Contraparte;;;Importes (pesos);;;;;;;
Asiento;Fecha;Num;CUIT;Nombre o Razón Social;IVA;Transf. Bcaria;Ret.Gcias;Ret.IIB;Ret.Munic.;Total;Comprobantes Asociados;Imputación;Observaciones
428) - 30311;11/03/2026;200010030;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;3.548.324,61;71.043,97;;;3.619.368,58;F B 00003-00001044 01/03/26 ... (+ 1);Ok;FC 1044 1045
427) - 30256;11/03/2026;200010031;30-52954331-6;SUTERH;E;2.174.354,39;43.003,76;;;2.217.358,15;F B 00003-00001005 01/12/25;Ok;Pago FC 1005
441) - 30251;13/03/2026;200010032;30-53331924-2;FATERYH;E;10.323.145,61;209.305,62;;;10.532.451,23;F B 00003-00001035 01/02/26;Ok;Pago 1035
442) - 30313;13/03/2026;200010033;30-59545956-3;OSPERYHRA;E;571.640,34;10.295,31;;;581.935,65;F B 00003-00001047 01/03/26;Ok;Pago FC 1047
456) - 30254;18/03/2026;200010034;30-60956813-1;OSPILM;E;6.984.999,09;141.180,19;;;7.126.179,28;F B 00003-00001052 01/03/26;Ok;Pago FC 1052
457) - 30309;18/03/2026;200010035;30-70495386-7;OSLERA;RI;191.257,07;45.825,56;;;237.082,63;F A 00003-00000516 15/03/26;Ok;Pago FC 516
458) - 30489;18/03/2026;200010036;30-52954331-6;SUTERH;E;2.173.010,98;44.347,16;;;2.217.358,14;F B 00003-00001020 02/01/26 ... (+ 1);Ok;Pago FC 1020
467) - 30082;20/03/2026;200010037;30-52297151-7;APDIS;RI;974.740,06;15.016,82;;;989.756,88;F A 00003-00000515 15/03/26;Ok;
469) - 30334;20/03/2026;200010038;33-68915085-9;GEA S.A.;RI;1.437.081,34;28.156,04;;9.734,82;1.474.972,20;F A 00003-00000512 01/03/26;Ok;Pago FC 512
468) - 30084;20/03/2026;200010039;30-53331924-2;FATERYH;E;10.836.985,15;219.792,15;;;11.056.777,30;F B 00003-00001048 01/03/26;Ok;Pago FC 1048
486) - 30090;26/03/2026;200010040;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;6.455.350,00;;;;6.455.350,00;F B 00003-00001050 01/03/26 ... (+ 1);Ok;Pago FC 1051 1050
490) - 30091;27/03/2026;200010041;30-52954331-6;SUTERH;E;2.173.010,99;44.347,16;;;2.217.358,15;F B 00003-00001020 02/01/26 ... (+ 1);Ok;Pago FC 1036
571) - 30353;01/04/2026;200010042;30-59965970-2;OSPERYH;E;20.408.703,84;424.076,96;371.067,34;;21.203.848,14;F B 00003-00001053 15/03/26;Ok;Pago FC 1053
587) - 30247;06/04/2026;200010043;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;3.548.324,61;71.043,97;;;3.619.368,58;F B 00003-00001057 01/04/26 ... (+ 1);Ok;Pago 1057 / 1058
600) - 30248;08/04/2026;200010044;30-59545956-3;OSPERYHRA;E;3.072.146,55;62.696,87;;;3.134.843,42;F B 00003-00001054 15/03/26;Ok;Pago FC 1054
618) - 30354;10/04/2026;200010045;30-59965970-2;OSPERYH;E;48.270.684,49;1.003.027,21;877.648,81;;50.151.360,51;F B 00003-00001040 18/02/26;Ok;
617) - 30249;10/04/2026;200010046;30-60956813-1;OSPILM;E;3.345.629,91;66.907,35;;;3.412.537,26;F B 00003-00001067 01/04/26;Ok;Pago FC 1067
634) - 30250;16/04/2026;200010047;30-70495386-7;OSLERA;RI;343.943,97;25.960,99;;;369.904,96;F A 00003-00000521 30/04/26;Ok;Pago FC 521
646) - 30314;20/04/2026;200010048;30-59545956-3;OSPERYHRA;E;1.281.946,11;26.162,17;;;1.308.108,28;F B 00003-00001066 01/04/26;Ok;Pago FC 1066
647) - 30315;20/04/2026;200010049;30-59545956-3;OSPERYHRA;E;571.640,34;10.295,31;;;581.935,65;F B 00003-00001060 01/04/26;Ok;Pago FC 1060
643) - 30305;20/04/2026;200010050;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;6.455.350,00;;;;6.455.350,00;F B 00003-00001063 01/04/26 ... (+ 1);Ok;Pago FC 1063 1064
645) - 30307;20/04/2026;200010051;30-52297151-7;APDIS;RI;2.402.259,08;39.008,12;;;2.441.267,20;F A 00003-00000520 30/04/26;Ok;Pago FC 520
644) - 30306;20/04/2026;200010052;30-62425407-0;OS PRENSA ROSARIO;E;2.223.436,89;;;;2.223.436,89;F B 00003-00001042 01/03/26 ... (+ 1);Ok;Pago FC 1042 1043
652) - 30347;22/04/2026;200010057;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;2.045.005,39;;;;2.045.005,39;F A 00003-00000507 04/02/26;Ok;Pago FC 507
659) - 30365;23/04/2026;200010053;30-52954331-6;SUTERH;E;2.282.531,14;45.211,45;;;2.327.742,59;F B 00003-00001049 01/03/26;Ok;Pago FC 1049
653) - 30332;23/04/2026;200010054;33-68915085-9;GEA S.A.;RI;1.443.890,59;23.036,31;;8.045,30;1.474.972,20;F A 00003-00000517 01/04/26;Ok;Pago FC 517
661) - 30335;24/04/2026;200010055;30-53331924-2;FATERYH;E;10.836.985,15;219.792,15;;;11.056.777,30;F B 00003-00001061 01/04/26;Ok;Pago FC 1061
673) - 30363;28/04/2026;200010058;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;3.857.074,61;;;;3.857.074,61;F A 00003-00000513 01/03/26;Ok;Pago FC 513
674) - 30364;28/04/2026;200010059;30-59545956-3;OSPERYHRA;E;6.360.662,97;129.809,45;;;6.490.472,42;F B 00003-00001069 15/04/26;Ok;Pago FC 1069
768) - 30601;06/05/2026;200010060;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;2.731.309,38;;;;2.731.309,38;F A 00003-00000514 01/03/26;Ok;Pago FC 514
771) - 30602;07/05/2026;200010061;30-65635676-2;OSBARA;E;41.109,75;;;;41.109,75;F B 00003-00001081 05/05/26;Ok;Pago FC 1081
774) - 30625;07/05/2026;200010066;30-59965970-2;OSPERYH;E;2.535.714,48;51.318,86;46.079,47;;2.633.112,81;F B 00003-00001033 01/02/26;Ok;Pago FC1033
776) - 30606;08/05/2026;200010062;30-59965970-2;OSPERYH;E;10.631.632,14;220.917,03;193.302,40;;11.045.851,57;F B 00003-00001065 01/04/26;Ok;Pago FC 1065
777) - 30607;08/05/2026;200010063;30-59965970-2;OSPERYH;E;2.661.880,44;53.940,49;48.373,40;;2.764.194,33;F B 00003-00001059 01/04/26;Ok;Pago FC 1059
780) - 30626;08/05/2026;200010067;30-59965970-2;OSPERYH;E;2.661.880,44;53.940,49;48.373,40;;2.764.194,33;F B 00003-00001046 01/03/26;Ok;Pago FC 1046
791) - 30623;11/05/2026;200010064;30-62425407-0;OS PRENSA ROSARIO;E;2.223.436,89;;;;2.223.436,89;F B 00003-00001055 01/04/26 ... (+ 1);Ok;Pago FC 1055/1056
796) - 30624;12/05/2026;200010065;33-52208216-9;CAMPSIC;RI;29.040,00;;;;29.040,00;F A 00003-00000524 05/05/26;Ok;Pago FC524
803) - 30627;14/05/2026;200010068;30-59545956-3;OSPERYHRA;E;571.640,34;10.295,31;;;581.935,65;F B 00003-00001075 05/05/26;Ok;Pago FC 1075
808) - 30643;18/05/2026;200010069;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;3.690.033,04;73.935,98;;;3.763.969,02;F B 00003-00001072 05/05/26 ... (+ 2);Ok;Pago FC 1072/1073/1080
809) - 30644;19/05/2026;200010070;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;1.548.882,80;;;;1.548.882,80;F A 00003-00000518 01/04/26;Ok;Pago FC 518
810) - 30645;20/05/2026;200010071;30-70495386-7;OSLERA;RI;356.434,36;27.728,50;;;384.162,86;F A 00003-00000511 18/02/26 ... (+ 4);Ok;Pago FC 531
811) - 30646;21/05/2026;200010072;30-60956813-1;OSPILM;E;6.825.882,92;137.932,92;;;6.963.815,84;F B 00003-00001084 05/05/26;Ok;Pago FC 1084
815) - 30689;27/05/2026;200010073;33-68915085-9;GEA S.A.;RI;1.437.081,34;28.156,04;;9.734,82;1.474.972,20;F A 00003-00000522 05/05/26;Ok;Pago FC 522
813) - 30653;27/05/2026;200010074;30-53331924-2;FATERYH;E;10.836.985,15;219.792,15;;;11.056.777,30;F B 00003-00001076 05/05/26;Ok;Pago FC 1076
814) - 30654;27/05/2026;200010075;30-59545956-3;OSPERYHRA;E;8.751.394,93;178.599,90;;;8.929.994,83;F B 00003-00001083 05/05/26;Ok;Pago FC 1083
816) - 30659;29/05/2026;200010076;30-52297151-7;APDIS;RI;3.264.205,42;53.494,62;;;3.317.700,04;F A 00003-00000523 05/05/26 ... (+ 3);Ok;Pago FC 530 523
845) - 30688;02/06/2026;200010077;30-59965970-2;OSPERYH;E;47.557.096,73;988.199,41;864.674,49;;49.409.970,63;F B 00003-00001068 15/04/26;Ok;Pago FC 1068
Total:;;;;;;537.795.958,78;9.820.654,47;5.370.236,59;44.351,07;553.031.200,91;;;
A Asentar:;;;;;;;;;;;;;
