Regisoft Contabilidad y Gestión;;;;;;;;;;;;Pág. 1 / 1;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EPL CONSULTORES SRL, Av. Dr. Honorio Pueyrredon 328 - Dto:8, 1405 CABA, Capital.  Responsable Inscripto 30-71193999-3;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Libro Mayor;;;;;;;;;;;;;;
Desde  01/01/2026  hasta  31/12/2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01.01.01.01 - CAJA (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;2.724.884,40;;;;2.724.884,40;;;
      68);;;05/01/26;Retenciones Ganancias;;;;;66.894,63;;2.657.989,77;;;
      74);;;06/01/26;Retiro Efectivo Cheque 1006 y 1007;;;2.650.000,00;;;;5.307.989,77;;;
      87);;;09/01/26;Pagos: s/ O.Pago Nº6246 - SCHNEIDER ALAN NICOLAS;;;;;53.006,88;;5.254.982,89;;;
      88);;;09/01/26;Pagos: s/ O.Pago Nº6247 - OSDE ORGANIZACION DE SERVICIOS DIRECTOS;;;;;12.639,35;;5.242.343,54;;;
      89);;;09/01/26;Pagos: s/ O.Pago Nº6251 - ENCODE S.A.;;;;;87.120,00;;5.155.223,54;;;
      99);;;13/01/26;Pagos: s/ O.Pago Nº6245 - DINAMICA COMERCIAL  SRL;;;;;16.000,00;;5.139.223,54;;;
      120);;;16/01/26;Pagos: s/ O.Pago Nº6242 - CAMARA DE EMPRESAS DE SOFTWARE Y SERVICIOS INF;;;;;60.000,00;;5.079.223,54;;;
      207);;;31/01/26;Pagos: s/ O.Pago Nº6262 - TELEFONICA MOVILES ARGENT;;;;;263,70;;5.078.959,84;;;
      317);;;24/02/26;Pagos: s/ O.Pago Nº6243 - CONTATECH;;;;;76.230,00;;5.002.729,84;;;
      400);;;05/03/26;Pagos: s/ O.Pago Nº6256 - YOMHA DANTE;;;;;800.000,00;;4.202.729,84;;;
      443);;;13/03/26;Pagos: s/ O.Pago Nº6252 - YOMHA GALILEO;;;;;3.300.000,00;;902.729,84;;;
      480);;;25/03/26;Pagos: s/ O.Pago Nº6171 - YOMHA FRANCO;;;;;715.000,00;;187.729,84;;;
      481);;;25/03/26;Retiro Efectivo Cheque 1327 y 1328;;;1.000.000,00;;;;1.187.729,84;;;
      482);;;25/03/26;Extraccion de efectivo;;;1.000,00;;;;1.188.729,84;;;
      519);;;31/03/26;Pagos: s/ O.Pago Nº6254 - YOMHA FRANCO;;;;;2.500.000,00;;-1.311.270,16;;;
      525);;;31/03/26;Reclasificacion de cuentas de impuestos;;;;;608.459,59;;-1.919.729,75;;;
      526);;;31/03/26;Pago proveedores;;;;;2.019.064,83;;-3.938.794,58;;;
      585);;;01/04/26;Pagos: s/ O.Pago Nº6244 - CRAVERO NEGOCIOS S.A.;;;;;27.126,51;;-3.965.921,09;;;
      594);;;06/04/26;Aporte Socios Lucas Eiros y Gonzalo Eiros;;;20.000.000,00;;;;16.034.078,91;;;
      605);;;08/04/26;Pagos: s/ O.Pago Nº6257 - YOMHA DANTE;;;;;11.600.000,00;;4.434.078,91;;;
      630);;;14/04/26;Pagos: s/ O.Pago Nº6255 - YOMHA FRANCO;;;;;5.800.000,00;;-1.365.921,09;;;
      633);;;15/04/26;Extraccion de efectivo;;;7.000.000,00;;;;5.634.078,91;;;
      642);;;18/04/26;Intereses Negativos a Devengar PFP Afip;;;;;800,00;;5.633.278,91;;;
      669);;;27/04/26;Pagos: s/ O.Pago Nº6253 - YOMHA GALILEO;;;;;800.000,00;;4.833.278,91;;;
      679);;;28/04/26;Extraccion de efectivo;;;3.000.000,00;;;;7.833.278,91;;;
      710);;;30/04/26;Pagos: s/ O.Pago Nº6250 - CONTATECH;;;;;39.930,00;;7.793.348,91;;;
      719);;;30/04/26;Pagos: s/ O.Pago Nº6263 - GOLAWARE S.R.L.;;;;;2,15;;7.793.346,76;;;
      734);;;04/05/26;Movimientos Banco Santander;;;8.000.000,00;;;;15.793.346,76;;;
      786);;;09/05/26;Deposito en Efectivo;;;;;100,00;;15.793.246,76;;;
      797);;;12/05/26;Cierre de Cuenta Galicia-Decision Comercial Galicia;;;6.087.486,32;;;;21.880.733,08;;;
;;;;;;;50.463.370,72;;28.582.637,64;;;;;
;;;;;;;;;;;;;;
01.01.01.02 - BANCO SANTANDER RIO (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;2.222.157,32;;;;2.222.157,32;;;
      41);;;02/01/26;Pago Autonomos Socio Gerente;;;;;122.460,30;;2.099.697,02;;;
      42);;;02/01/26;Transfrencia entre cuentas;;;;;30.000,00;;2.069.697,02;;;
      43);;;02/01/26;Transfrencia entre cuentas;;;;;60.000,00;;2.009.697,02;;;
      44);;;02/01/26;Transfrencia entre cuentas;;;;;2.850.000,00;;-840.302,98;;;
      53);;;02/01/26;S/Retiros de Socios;;;;;4.000.000,00;;-4.840.302,98;;;
      58);;;02/01/26;Pagos: s/ O.Pago Nº6260 - BANCO SANTANDER RIO SA;;;;;2.266.221,72;;-7.106.524,70;;;
      63);;;05/01/26;Pago Tarjeta de Credito;;;;;4.215.930,00;;-11.322.454,70;;;
      65);;;05/01/26;Pagos: s/ O.Pago Nº6147 - BANCO SANTANDER RIO SA;;;;;169.575,96;;-11.492.030,66;;;
      66);;;05/01/26;Pago Prestamo 0197-039100721104;;;;;782.759,14;;-12.274.789,80;;;
      71);;;06/01/26;(Cheque 1475) Pago Plan de Pago Sindicato;;;;;832.000,00;;-13.106.789,80;;;
      72);;;06/01/26;Pagos: s/ O.Pago Nº6148 - BANCO SANTANDER RIO SA;;;;;1.213.596,78;;-14.320.386,58;;;
      73);;;06/01/26;Pago Prestamo 0197-039100897649;;;;;613.888,89;;-14.934.275,47;;;
      74);;;06/01/26;Retiro Efectivo Cheque 1006 y 1007;;;;;2.650.000,00;;-17.584.275,47;;;
      75);;;07/01/26;Cobros: s/ Rec. Nº2093 - OS PRENSA ROSARIO;;;2.021.306,26;;;;-15.562.969,21;;;
      76);;;07/01/26;Pago de Haberes;;;;;8.587.362,00;;-24.150.331,21;;;
      77);;;08/01/26;Cobros: s/ Rec. Nº2097 - OSPERYHRA;;;544.596,15;;;;-23.605.735,06;;;
      78);;;09/01/26;Pagos: s/ O.Pago Nº6093 - TELEFONICA MOVILES ARGENT;;;;;160.671,83;;-23.766.406,89;;;
      79);;;09/01/26;Pagos: s/ O.Pago Nº6095 - CESAR AUGUSTO ARCARO MALITO;;;;;4.606.646,78;;-28.373.053,67;;;
      80);;;09/01/26;Cobros: s/ Rec. Nº2095 - O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;;;3.225.871,77;;;;-25.147.181,90;;;
      82);;;09/01/26;Pago Obra Social-SCVO 2025-11;;;;;2.573.008,62;;-27.720.190,52;;;
      83);;;09/01/26;Pagos: s/ O.Pago Nº6149 - BANCO SANTANDER RIO SA;;;;;268.620,03;;-27.988.810,55;;;
      84);;;09/01/26;Pago Prestamo 0197-039100866063;;;;;909.401,19;;-28.898.211,74;;;
      85);;;09/01/26;Gasto Personal OSDE;;;;;1.391.614,39;;-30.289.826,13;;;
      86);;;09/01/26;Pagos: s/ O.Pago Nº6094 - LUCIANO ORSI;;;;;2.516.613,00;;-32.806.439,13;;;
      91);;;12/01/26;(Pascale) Beneficio Soledad Pascale;;;;;204.378,66;;-33.010.817,79;;;
      92);;;12/01/26;Gastos de Prepaga Swiss 2026/01;;;;;97.343,07;;-33.108.160,86;;;
      93);;;12/01/26;Aporte Lucas Eiros;;;7.200.000,00;;;;-25.908.160,86;;;
      94);;;12/01/26;V066516 - Cuota 2.071.918,23 (Pago Cuota 1);;;;;2.294.131,46;;-28.202.292,32;;;
      95);;;12/01/26;V113915 - Cuota 3.733.998,24 (Pago Cuota 1);;;;;4.031.784,60;;-32.234.076,92;;;
      96);;;13/01/26;Pagos: s/ O.Pago Nº6085 - CANDIA DOMINGUEZ LUCIA BELEN;;;;;295.480,00;;-32.529.556,92;;;
      97);;;13/01/26;Cobros: s/ Rec. Nº2096 - ASSISTENCIAL SALUD S.A.;;;3.354.439,34;;;;-29.175.117,58;;;
      100);;;14/01/26;Transfrencia entre cuentas;;;;;30.000,00;;-29.205.117,58;;;
      101);;;14/01/26;Pagos: s/ O.Pago Nº6150 - BANCO SANTANDER RIO SA;;;;;434.457,58;;-29.639.575,16;;;
      102);;;14/01/26;Pago Prestamo 0197-039100828171;;;;;663.255,06;;-30.302.830,22;;;
      103);;;15/01/26;Cobros: s/ Rec. Nº2098 - MEDICAL SERVICIOS DE SALUD SRL;;;2.048.929,20;;;;-28.253.901,02;;;
      109);;;16/01/26;Cobros: s/ Rec. Nº2099 - OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;;;5.868.500,00;;;;-22.385.401,02;;;
      110);;;16/01/26;(Pascale) Beneficio Soledad Pascale;;;;;119.242,36;;-22.504.643,38;;;
      111);;;16/01/26;Transfrencia entre cuentas;;;;;3.250.000,00;;-25.754.643,38;;;
      112);;;16/01/26;Pago Convenio Dic.2025;;;;;67.647,67;;-25.822.291,05;;;
      113);;;16/01/26;V293237 - Pago Cuota 2;;;;;1.808.495,28;;-27.630.786,33;;;
      114);;;16/01/26;V114140 PAgo Cuota 4;;;;;450.049,77;;-28.080.836,10;;;
      115);;;16/01/26;V293428 - Pago Cuota 2;;;;;216.835,52;;-28.297.671,62;;;
      117);;;16/01/26;Pago de Deuda Sindical Inacap;;;;;279.804,98;;-28.577.476,60;;;
      121);;;19/01/26;Pagos: s/ O.Pago Nº6075 - NUBI S.A.;;;;;130.487,30;;-28.707.963,90;;;
      122);;;19/01/26;Pagos: s/ O.Pago Nº6076 - SACCOL EMILIANO;;;;;191.785,00;;-28.899.748,90;;;
      123);;;19/01/26;Cobros: s/ Rec. Nº2100 - OSPERYH;;;39.329.113,05;;;;10.429.364,15;;;
      126);;;19/01/26;Pago de Haberes;;;;;8.183.911,00;;2.245.453,15;;;
      127);;;19/01/26;Transfrencia entre cuentas;;;;;1.626.000,00;;619.453,15;;;
      128);;;19/01/26;Transfrencia entre cuentas;;;;;50.000,00;;569.453,15;;;
      129);;;19/01/26;Por Beneficios al personal;;;;;177.039,85;;392.413,30;;;
      132);;;20/01/26;Pagos: s/ O.Pago Nº6078 - DANIELA ALEJANDRA VAZQUEZ;;;;;1.500.000,00;;-1.107.586,70;;;
      133);;;20/01/26;Pagos: s/ O.Pago Nº6079 - ANDREACCHIO RODOLFO;;;;;900.000,00;;-2.007.586,70;;;
      134);;;20/01/26;Pagos: s/ O.Pago Nº6082 - RODRIGUEZ PILAR;;;;;1.783.000,00;;-3.790.586,70;;;
      135);;;20/01/26;Pagos: s/ O.Pago Nº6084 - WNS & ASOCIADOS S.R.L.;;;;;2.076.239,00;;-5.866.825,70;;;
      136);;;20/01/26;Pagos: s/ O.Pago Nº6097 - MARIA SOLEDAD PASCALE;;;;;2.500.000,00;;-8.366.825,70;;;
      137);;;20/01/26;Pagos: s/ O.Pago Nº6099 - FABIOLA LANDIN;;;;;726.000,00;;-9.092.825,70;;;
      138);;;20/01/26;Pagos: s/ O.Pago Nº6101 - CESAR AUGUSTO ARCARO MALITO;;;;;1.316.250,00;;-10.409.075,70;;;
      139);;;20/01/26;Pagos: s/ O.Pago Nº6102 - MORABITO FEDERICO JAVIER;;;;;216.500,00;;-10.625.575,70;;;
      140);;;20/01/26;Cobros: s/ Rec. Nº2101 - OSPILM;;;11.718.334,44;;;;1.092.758,74;;;
      141);;;20/01/26;Cobros: s/ Rec. Nº2102 - FATERYH;;;10.323.145,61;;;;11.415.904,35;;;
      142);;;20/01/26;Cobros: s/ Rec. Nº2103 - OSPERYHRA;;;2.371.600,00;;;;13.787.504,35;;;
      143);;;20/01/26;Pagos: s/ O.Pago Nº6103 - DAURAT MERCEDES MARIA;;;;;5.951.343,40;;7.836.160,95;;;
      145);;;20/01/26;Pagos: s/ O.Pago Nº6080 - MERCEDES FRATTINI;;;;;1.047.986,80;;6.788.174,15;;;
      146);;;21/01/26;Cobros: s/ Rec. Nº2104 - OSLERA;;;147.329,31;;;;6.935.503,46;;;
      147);;;21/01/26;Rescate aportes Lucas Eiros;;;;;7.200.000,00;;-264.496,54;;;
      148);;;21/01/26;Beneficios al personal;;;;;1.456.660,50;;-1.721.157,04;;;
      149);;;21/01/26;Pagos: s/ O.Pago Nº6179 - YOMHA DANTE;;;;;5.000.000,00;;-6.721.157,04;;;
      152);;;22/01/26;Cobros: s/ Rec. Nº2105 - OSPERYH;;;43.305.909,89;;;;36.584.752,85;;;
      154);;;22/01/26;Transfrencia entre cuentas;;;;;1.535.000,00;;35.049.752,85;;;
      156);;;22/01/26;S/Retiros de Socios;;;;;4.000.000,00;;31.049.752,85;;;
      158);;;23/01/26;Cobros: s/ Rec. Nº2106 - GEA S.A.;;;1.367.302,22;;;;32.417.055,07;;;
      160);;;23/01/26;Transfrencia entre cuentas;;;;;3.100.000,00;;29.317.055,07;;;
      161);;;23/01/26;Transfrencia entre cuentas;;;;;3.000.000,00;;26.317.055,07;;;
      162);;;23/01/26;Pagos: s/ O.Pago Nº6151 - BANCO SANTANDER RIO SA;;;;;410.456,28;;25.906.598,79;;;
      163);;;23/01/26;Pago Prestamo 0197-039100730317;;;;;2.133.933,66;;23.772.665,13;;;
      164);;;23/01/26;Gasto Personal;;;;;111.792,98;;23.660.872,15;;;
      169);;;26/01/26;Pagos: s/ O.Pago Nº6146 - LUCAS LEONARDO EIROS;;;;;5.000.000,00;;18.660.872,15;;;
      170);;;27/01/26;Pagos: s/ O.Pago Nº6091 - MERCEDES FRATTINI;;;;;2.382.000,00;;16.278.872,15;;;
      171);;;27/01/26;Pagos: s/ O.Pago Nº6092 - ALLER ROCIO BELEN;;;;;35.000,00;;16.243.872,15;;;
      172);;;28/01/26;Pagos: s/ O.Pago Nº6104 - GOLAWARE S.R.L.;;;;;757.218,00;;15.486.654,15;;;
      173);;;28/01/26;Cobros: s/ Rec. Nº200010012 - ASSISTENCIAL SALUD S.A.;;;373.164,00;;;;15.859.818,15;;;
      176);;;28/01/26;Cobros: s/ Rec. Nº200010011 - OSPERYH;;;2.535.714,48;;;;18.395.532,63;;;
      177);;;28/01/26;Cobros: s/ Rec. Nº200010010 - OSPERYH;;;32.376.208,09;;;;50.771.740,72;;;
      179);;;29/01/26;Cobros: s/ Rec. Nº200010013 - MEDICAL SERVICIOS DE SALUD SRL;;;2.584.170,11;;;;53.355.910,83;;;
      180);;;29/01/26;Cobros: s/ Rec. Nº200010014 - APDIS;;;2.203.465,38;;;;55.559.376,21;;;
      182);;;30/01/26;Pagos: s/ O.Pago Nº6087 - FUNDACION CONSENSO;;;;;228.850,93;;55.330.525,28;;;
      183);;;30/01/26;Pagos: s/ O.Pago Nº6088 - SACCOL EMILIANO;;;;;1.229.027,25;;54.101.498,03;;;
      184);;;30/01/26;Pagos: s/ O.Pago Nº6089 - MINDER S A;;;;;61.415,96;;54.040.082,07;;;
      185);;;30/01/26;Pagos: s/ O.Pago Nº6090 - WNS & ASOCIADOS S.R.L.;;;;;2.256.287,00;;51.783.795,07;;;
      188);;;30/01/26;Pago de Haberes;;;;;12.862.421,00;;38.921.374,07;;;
      189);;;30/01/26;Pagos: s/ O.Pago Nº6175 - LUCAS LEONARDO EIROS;;;;;6.000.000,00;;32.921.374,07;;;
      192);;;31/01/26;Gastos y Comisiones Bancarias-Santander;;;;;12.407.361,64;;20.514.012,43;;;
      241);;;02/02/26;Pago Autonomos Socio Gerente;;;;;125.485,06;;20.388.527,37;;;
      242);;;02/02/26;Pago Tarjeta de Credito;;;;;3.457.500,00;;16.931.027,37;;;
      244);;;03/02/26;Cobros: s/ Rec. Nº200010015 - OS PRENSA ROSARIO;;;2.021.306,26;;;;18.952.333,63;;;
      246);;;03/02/26;Pago Prestamo 0197-039100721104;;;;;809.503,41;;18.142.830,22;;;
      247);;;03/02/26;Pagos: s/ O.Pago Nº6152 - BANCO SANTANDER RIO SA;;;;;136.205,94;;18.006.624,28;;;
      253);;;04/02/26;Pagos: s/ O.Pago Nº6169 - YOMHA GALILEO;;;;;3.000.000,00;;15.006.624,28;;;
      254);;;05/02/26;Pago de Haberes;;;;;8.918.429,00;;6.088.195,28;;;
      255);;;06/02/26;Pagos: s/ O.Pago Nº6123 - SANDJIAN & ASOCIADOS;;;;;931.700,00;;5.156.495,28;;;
      256);;;06/02/26;Transfrencia entre cuentas;;;;;125.000,00;;5.031.495,28;;;
      257);;;06/02/26;Transfrencia entre cuentas;;;;;85.000,00;;4.946.495,28;;;
      258);;;06/02/26;Pago Obra Social-SCVO 2025-12;;;;;2.445.187,21;;2.501.308,07;;;
      260);;;06/02/26;Pagos: s/ O.Pago Nº6153 - BANCO SANTANDER RIO SA;;;;;1.177.902,76;;1.323.405,31;;;
      261);;;06/02/26;Pago Prestamo 0197-039100897649;;;;;613.888,89;;709.516,42;;;
      262);;;06/02/26;Gasto Personal OSDE;;;;;768.368,29;;-58.851,87;;;
      263);;;09/02/26;Pagos: s/ O.Pago Nº6134 - TELEFONICA MOVILES ARGENT;;;;;168.433,58;;-227.285,45;;;
      264);;;09/02/26;(Cheque 1477) Pago Plan de Pago Sindicato;;;;;832.000,00;;-1.059.285,45;;;
      266);;;09/02/26;Pagos: s/ O.Pago Nº6154 - BANCO SANTANDER RIO SA;;;;;227.952,36;;-1.287.237,81;;;
      267);;;09/02/26;Pago Prestamo 0197-039100866063;;;;;944.261,57;;-2.231.499,38;;;
      268);;;10/02/26;Cobros: s/ Rec. Nº200010016 - O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;;;3.225.871,77;;;;994.372,39;;;
      269);;;10/02/26;Gastos de Prepaga Swiss 2026/02;;;;;106.545,95;;887.826,44;;;
      270);;;11/02/26;Pagos: s/ O.Pago Nº6125 - CESAR AUGUSTO ARCARO MALITO;;;;;4.609.587,08;;-3.721.760,64;;;
      271);;;11/02/26;V113915 - Cuota 3.733.998,24 (Pago Cuota 2);;;;;4.028.361,77;;-7.750.122,41;;;
      272);;;11/02/26;V293428 - Cuota 216.835,52 (Pago Cuota 1);;;;;227.966,41;;-7.978.088,82;;;
      273);;;11/02/26;V066516 - Cuota 2.071.918,23 (Pago Cuota 3);;;;;2.235.254,45;;-10.213.343,27;;;
      274);;;11/02/26;Gasto Personal OSDE;;;;;1.185.610,09;;-11.398.953,36;;;
      275);;;11/02/26;Pagos: s/ O.Pago Nº6124 - LUCIANO ORSI;;;;;2.471.613,00;;-13.870.566,36;;;
      277);;;13/02/26;Beneficios al personal;;;;;971.107,00;;-14.841.673,36;;;
      279);;;16/02/26;V293237 - Pago Cuota 3;;;;;1.808.495,28;;-16.650.168,64;;;
      280);;;16/02/26;V114140 Pago Cuota 5;;;;;450.049,77;;-17.100.218,41;;;
      281);;;16/02/26;V293428 - Pago Cuota 3;;;;;216.835,52;;-17.317.053,93;;;
      282);;;16/02/26;V429557 -Pago Cuota 2;;;;;3.760.940,94;;-21.077.994,87;;;
      283);;;18/02/26;Pagos: s/ O.Pago Nº6136 - MARIA SOLEDAD PASCALE;;;;;2.500.000,00;;-23.577.994,87;;;
      290);;;18/02/26;(Pascale) Beneficio Soledad Pascale;;;;;119.242,36;;-23.697.237,23;;;
      292);;;18/02/26;Pagos: s/ O.Pago Nº6155 - BANCO SANTANDER RIO SA;;;;;414.458,29;;-24.111.695,52;;;
      293);;;18/02/26;Pago Prestamo 0197-039100828171;;;;;683.152,71;;-24.794.848,23;;;
      294);;;18/02/26;Cobros: s/ Rec. Nº200010017 - OSPILM;;;6.134.648,68;;;;-18.660.199,55;;;
      297);;;20/02/26;Transfrencia entre cuentas;;;;;1.560.000,00;;-20.220.199,55;;;
      298);;;20/02/26;Pago Convenio Ene.2026;;;;;29.626,90;;-20.249.826,45;;;
      299);;;20/02/26;Honorarios Legales Afip Cuota 1de4;;;;;144.263,82;;-20.394.090,27;;;
      302);;;20/02/26;Pago a cuenta V725445;;;;;876.768,33;;-21.270.858,60;;;
      303);;;20/02/26;Cobros: s/ Rec. Nº200010018 - GEA S.A.;;;1.360.854,49;;;;-19.910.004,11;;;
      305);;;23/02/26;Pagos: s/ O.Pago Nº6111 - MORABITO FEDERICO JAVIER;;;;;216.500,00;;-20.126.504,11;;;
      306);;;23/02/26;Cobros: s/ Rec. Nº200010021 - ASSISTENCIAL SALUD S.A.;;;3.983.778,66;;;;-16.142.725,45;;;
      309);;;23/02/26;Cobros: s/ Rec. Nº200010020 - SUTERH;;;2.067.196,73;;;;-14.075.528,72;;;
      310);;;23/02/26;Cobros: s/ Rec. Nº200010019 - OSPERYHRA;;;8.642.927,52;;;;-5.432.601,20;;;
      311);;;24/02/26;Pagos: s/ O.Pago Nº6109 - MINDER S A;;;;;171.048,52;;-5.603.649,72;;;
      312);;;24/02/26;Pagos: s/ O.Pago Nº6112 - RODRIGUEZ PILAR;;;;;1.783.000,00;;-7.386.649,72;;;
      313);;;24/02/26;Pagos: s/ O.Pago Nº6113 - DAURAT MERCEDES MARIA;;;;;6.050.000,00;;-13.436.649,72;;;
      314);;;24/02/26;Cobros: s/ Rec. Nº200010022 - OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELL;;;5.868.500,00;;;;-7.568.149,72;;;
      316);;;24/02/26;Cobros: s/ Rec. Nº200010023 - OSPERYH;;;43.095.192,31;;;;35.527.042,59;;;
      318);;;25/02/26;Pagos: s/ O.Pago Nº6117 - NUBI S.A.;;;;;66.095,97;;35.460.946,62;;;
      319);;;25/02/26;Pagos: s/ O.Pago Nº6114 - MERCEDES FRATTINI;;;;;2.036.136,76;;33.424.809,86;;;
      320);;;25/02/26;Pagos: s/ O.Pago Nº6115 - GOLAWARE S.R.L.;;;;;747.054,00;;32.677.755,86;;;
      321);;;25/02/26;Pagos: s/ O.Pago Nº6116 - ANDREACCHIO RODOLFO;;;;;900.000,00;;31.777.755,86;;;
      322);;;25/02/26;Pagos: s/ O.Pago Nº6118 - MERCEDES FRATTINI;;;;;1.047.986,80;;30.729.769,06;;;
      323);;;25/02/26;Pagos: s/ O.Pago Nº6119 - SACCOL EMILIANO;;;;;548.704,75;;30.181.064,31;;;
      324);;;25/02/26;Pagos: s/ O.Pago Nº6120 - WNS & ASOCIADOS S.R.L.;;;;;2.256.287,00;;27.924.777,31;;;
      325);;;25/02/26;(Pascale) Beneficio Soledad Pascale;;;;;67.245,13;;27.857.532,18;;;
      326);;;25/02/26;Transfrencia entre cuentas;;;;;1.700.000,00;;26.157.532,18;;;
      327);;;25/02/26;Gasto Personal;;;;;145.874,59;;26.011.657,59;;;
      328);;;25/02/26;Pagos: s/ O.Pago Nº6176 - LUCAS LEONARDO EIROS;;;;;6.000.000,00;;20.011.657,59;;;
      330);;;27/02/26;Cobros: s/ Rec. Nº200010024 - APDIS;;;2.393.476,08;;;;22.405.133,67;;;
      331);;;27/02/26;Pago de Haberes;;;;;9.305.536,00;;13.099.597,67;;;
      332);;;27/02/26;Pagos: s/ O.Pago Nº6168 - YOMHA FRANCO;;;;;5.085.000,00;;8.014.597,67;;;
      341);;;28/02/26;Gastos y Comisiones Bancarias-Santander;;;;;6.775.072,31;;1.239.525,36;;;
      377);;;02/03/26;Cobros: s/ Rec. Nº200010026 - MEDICAL SERVICIOS DE SALUD SRL;;;2.117.652,00;;;;3.357.177,36;;;
      381);;;02/03/26;Pago Tarjeta de Credito;;;;;3.004.740,00;;352.437,36;;;
      383);;;02/03/26;Pago Prestamo 0197-39100730317 Cuota 21;;;;;2.199.729,95;;-1.847.292,59;;;
      384);;;02/03/26;Cobros: s/ Rec. Nº200010025 - OSLERA;;;493.223,10;;;;-1.354.069,49;;;
      387);;;03/03/26;Pagos: s/ O.Pago Nº6172 - BANCO SANTANDER RIO SA;;;;;338.602,08;;-1.692.671,57;;;
      388);;;03/03/26;Pagos: s/ O.Pago Nº6173 - BANCO SANTANDER RIO SA;;;;;103.594,49;;-1.796.266,06;;;
      389);;;03/03/26;Pago Prestamo 0197-39100721104 Cuota 22;;;;;837.161,44;;-2.633.427,50;;;
      390);;;04/03/26;Pagos: s/ O.Pago Nº6121 - CESAR AUGUSTO ARCARO MALITO;;;;;1.452.000,00;;-4.085.427,50;;;
      391);;;04/03/26;Cobros: s/ Rec. Nº200010027 - OSPERYHRA;;;10.472.401,23;;;;6.386.973,73;;;
      392);;;04/03/26;Cobros: s/ Rec. Nº200010028 - OS PRENSA ROSARIO;;;2.021.306,26;;;;8.408.279,99;;;
      398);;;04/03/26;Gasto Personal;;;;;32.049,73;;8.376.230,26;;;
      399);;;05/03/26;Pago de Haberes;;;;;9.305.536,00;;-929.305,74;;;
      401);;;06/03/26;Pagos: s/ O.Pago Nº6131 - SANDJIAN & ASOCIADOS;;;;;2.904.000,00;;-3.833.305,74;;;
      402);;;06/03/26;Pagos: s/ O.Pago Nº6132 - WNS & ASOCIADOS S.R.L.;;;;;2.256.287,00;;-6.089.592,74;;;
      403);;;06/03/26;Pagos: s/ O.Pago Nº6133 - TELEFONICA MOVILES ARGENT;;;;;175.145,68;;-6.264.738,42;;;
      404);;;06/03/26;Transfrencia entre cuentas;;;;;3.250.000,00;;-9.514.738,42;;;
      405);;;06/03/26;Transfrencia entre cuentas;;;;;2.900.000,00;;-12.414.738,42;;;
      406);;;06/03/26;Transfrencia entre cuentas;;;;;20.000,00;;-12.434.738,42;;;
      407);;;06/03/26;Transfrencia entre cuentas;;;;;85.000,00;;-12.519.738,42;;;
      409);;;06/03/26;Pagos: s/ O.Pago Nº6162 - BANCO SANTANDER RIO SA;;;;;1.031.672,40;;-13.551.410,82;;;
      410);;;06/03/26;Pago Prestamo 0197-39100897649 Cuota 5;;;;;613.888,89;;-14.165.299,71;;;
      415);;;09/03/26;Pagos: s/ O.Pago Nº6135 - MARIA SOLEDAD PASCALE;;;;;2.500.000,00;;-16.665.299,71;;;
      417);;;09/03/26;(Cheque 1476) Pago Plan de Pago Sindicato;;;;;832.000,00;;-17.497.299,71;;;
      419);;;09/03/26;Pagos: s/ O.Pago Nº6163 - BANCO SANTANDER RIO SA;;;;;185.316,14;;-17.682.615,85;;;
      420);;;09/03/26;Pago Prestamo 0197-39100866063 Cuota 9;;;;;980.458,20;;-18.663.074,05;;;
      421);;;10/03/26;Cobros: s/ Rec. Nº200010029 - ASSISTENCIAL SALUD S.A.;;;3.248.768,57;;;;-15.414.305,48;;;
      426);;;10/03/26;Gastos de Prepaga Swiss 2026/03;;;;;111.775,35;;-15.526.080,83;;;
      427);;;11/03/26;Cobros: s/ Rec. Nº200010031 - SUTERH;;;2.174.354,39;;;;-13.351.726,44;;;
      428);;;11/03/26;Cobros: s/ Rec. Nº200010030 - O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;;;3.548.324,61;;;;-9.803.401,83;;;
      429);;;12/03/26;Pagos: s/ O.Pago Nº6137 - GOLAWARE S.R.L.;;;;;734.349,00;;-10.537.750,83;;;
      430);;;12/03/26;Pagos: s/ O.Pago Nº6138 - LUCIANO ORSI;;;;;2.516.613,00;;-13.054.363,83;;;
      431);;;12/03/26;Pagos: s/ O.Pago Nº6139 - CESAR AUGUSTO ARCARO MALITO;;;;;5.577.587,08;;-18.631.950,91;;;
      432);;;12/03/26;Pagos: s/ O.Pago Nº6140 - ARQUETIPONET S.R.L.;;;;;716.025,00;;-19.347.975,91;;;
      438);;;12/03/26;Gasto Personal;;;;;35.812,90;;-19.383.788,81;;;
